VideoName,VideoNumber,Plays,Tags,
Tentoonstelling Salvador Dalí,8262,32,Rotterdam;Museum Boijmans Van Beuningen,
Opening van de tentoonstelling 'Het Duitse boek van heden',8070,20,Rotterdam;Museum Boijmans Van Beuningen;boeken,
Proeftocht van het SS Simon Bolivar,111644,20,Rotterdam;scheepvaart,
Training voor het aanstaande atletiekseizoen,56857,10,Rotterdam;sport,
Rotterdam: atletiekwedstrijden om het clubkampioenschap,73919,18,Rotterdam;sport,
Voetbalwedstrijd Feyenoord - Ajax,72847,20,Rotterdam;sport,
Dr. Simonis tot bisschop gewijd,2598,18,Rotterdam;religie,
Feyenoord-Legia Warschau,12539,28,Rotterdam;sport,
Nieuwe veerdienst,54279,17,Rotterdam;Verkeer en vervoer,
De Noordam brengt de eerste Marshall goederen,1745,20,Rotterdam;geschiedenis,
Voetbal: Nederland- België 2-2,81270,22,Rotterdam;sport,
Verhoging Maasbrug,29611,24,Rotterdam;Madurodam,
Aan boord van het opleidingsschip 'Nederlanden',10172,32,Rotterdam;onderwijs,
De vermaarde schroef voor de "Willem Ruys",112052,19,Rotterdam,
Drijvende graanopslagplaatsen,112899,19,Rotterdam;scheepvaart,
Vaktentoonstelling voor transportbedrijf,15561,22,Rotterdam;arbeid,
De technishow 1951,78415,11,Rotterdam,
Een nieuwe busremise,55069,26,Rotterdam;Verkeer en vervoer,
Nieuwe brug,29560,26,Rotterdam;Madurodam,
Nederlandse atletiek kampioenschappen,11892,15,Rotterdam;sport,
Europese zwemkampioenschappen voor de jeugd,12744,15,Rotterdam;sport,
Tentoonstelling Spaanse kunst,8237,19,Rotterdam;Museum Boijmans Van Beuningen,
Grootste dok van het continent weer in gebruik gesteld,108704,18,Rotterdam;scheepvaart,
Rotterdam drinkt 75 jaar water uit de Maas,843,24,Rotterdam;water,
Opening van het Feyenoord stadion,29985,25,Rotterdam;Madurodam,
Het "kraaiennest" omhoog in de Euromast,31115,18,Rotterdam;Madurodam,
Japanse auto's voor Europa,649145,1,Rotterdam;vervoer;haven,
Het werk van de haven-schoonmaakdienst,649975,0,Rotterdam;haven;reiniging,
Symbolische herdenking voedseldropping ´45 Den Haag,14748,29,Den Haag;voeding;4 en 5 mei,
Pilotenhelpers onderscheiden,24891,20,Den Haag;4 en 5 mei,
Amerikaanse piloot dankt helpers in Den Haag,25390,20,Den Haag;4 en 5 mei,
Pierre de Gaulle; burgemeester van Parijs; bezoekt Den Haag,25496,29,Den Haag;4 en 5 mei;Scheveningen,
