Tag,VideoName,VideoNumber,Plays,Total Videos,
Rotterdam,Opbouwdag 1963,31508,25,105,
Rotterdam,Burgemeester Oud laat zijn bloedgroep bepalen,123998,6,105,
Rotterdam,Havendag,31668,37,105,
Rotterdam,Rotterdam bouwt aan zijn metro,31405,28,105,
Rotterdam,Unieke schilderijen expositie in Rotterdam,8139,13,105,
Rotterdam,Rotterdamse Diergaarde gaat verhuizen,30156,26,105,
Rotterdam,Gevederde pracht,95682,15,105,
Rotterdam,Touwtrekken om het kampioenschap van Nederland,57062,11,105,
Rotterdam,Ajax voetbalkampioen van Nederland,56171,19,105,
Rotterdam,Proefvaart "Zwarte Zee",45842,32,105,
Rotterdam,Euromast wordt 78m hoger,31918,29,105,
Rotterdam,Uitbreiding haven,31882,29,105,
Rotterdam,Bouw van de Brienenoordbrug,31651,30,105,
Rotterdam,Bouw metro vordert,31581,26,105,
Rotterdam,Bouw van nieuwe oeververbinding,31480,25,105,
Rotterdam,Europoort met Nieuwe Waterweg verbonden,31260,29,105,
Rotterdam,De "Cadilla" wordt weer tankschip,30341,10,105,
Rotterdam,Achter de schermen van de 'warme' en 'koude' bakker,15448,10,105,
Rotterdam,Havenvakschool,12134,29,105,
Rotterdam,De schilder Paul Delvaux,8288,21,105,
Rotterdam,Kant-tentoonstelling in Rotterdam,8161,13,105,
Rotterdam,Billy Graham; massale evangelisatieavond in het Feyenoord stadion,3238,33,105,
Rotterdam,Lord Beveridge promoveert te Rotterdam tot doctor honoris causa in de economische wetenschappen,141236,5,105,
Rotterdam,Voetbalwedstrijd Nederland - België,79601,24,105,
Rotterdam,Eindhovenaar Moons; kampioen marathonloop 1950,55928,21,105,
Rotterdam,Officiële overdracht van de "Nieuw Amsterdam",30076,27,105,
Rotterdam,Nieuwe Waterweg breekt 29 jaar oud record,112924,16,105,
Rotterdam,Persexcursie naar de delfstofgebieden: zoutwinning in Boekelo; olieboringen bij Coevorden; raffinaderijen in Pernis,77623,23,105,
Rotterdam,Weg met de droogkap,72076,30,105,
Rotterdam,Tentoonstelling Salvador Dalí,8262,32,105,
Rotterdam,Opening van de tentoonstelling 'Het Duitse boek van heden',8070,20,105,
Rotterdam,Proeftocht van het SS Simon Bolivar,111644,20,105,
Rotterdam,Training voor het aanstaande atletiekseizoen,56857,10,105,
Rotterdam,Rotterdam: atletiekwedstrijden om het clubkampioenschap,73919,18,105,
Rotterdam,Voetbalwedstrijd Feyenoord - Ajax,72847,20,105,
Rotterdam,Dr. Simonis tot bisschop gewijd,2598,18,105,
Rotterdam,Feyenoord-Legia Warschau,12539,28,105,
Rotterdam,Nieuwe veerdienst,54279,17,105,
Rotterdam,De Noordam brengt de eerste Marshall goederen,1745,20,105,
Rotterdam,Voetbal: Nederland- België 2-2,81270,22,105,
Rotterdam,Verhoging Maasbrug,29611,24,105,
Rotterdam,Aan boord van het opleidingsschip 'Nederlanden',10172,32,105,
Rotterdam,De vermaarde schroef voor de "Willem Ruys",112052,19,105,
Rotterdam,Drijvende graanopslagplaatsen,112899,19,105,
Rotterdam,Vaktentoonstelling voor transportbedrijf,15561,22,105,
Rotterdam,De technishow 1951,78415,11,105,
Rotterdam,Een nieuwe busremise,55069,26,105,
Rotterdam,Nieuwe brug,29560,26,105,
Rotterdam,Nederlandse atletiek kampioenschappen,11892,15,105,
Rotterdam,Europese zwemkampioenschappen voor de jeugd,12744,15,105,
Rotterdam,Tentoonstelling Spaanse kunst,8237,19,105,
Rotterdam,Grootste dok van het continent weer in gebruik gesteld,108704,18,105,
Rotterdam,Rotterdam drinkt 75 jaar water uit de Maas,843,24,105,
Rotterdam,Opening van het Feyenoord stadion,29985,25,105,
Rotterdam,Het "kraaiennest" omhoog in de Euromast,31115,18,105,
Rotterdam,Japanse auto's voor Europa,649145,1,105,
Rotterdam,Het werk van de haven-schoonmaakdienst,649975,0,105,
Den Haag,Den Haag bouwt op,1787,25,19,
Den Haag,700 jaar stad,661,22,19,
Den Haag,Den Haag krijgt een nieuw stadhuis,3285,24,19,
Den Haag,Den Haag 70 jaar gemeente reinigingsdienst,2566,33,19,
Den Haag,Symbolische herdenking voedseldropping ´45 Den Haag,14748,29,19,
Den Haag,Chinezen in Nederland vieren de overwinning,21432,21,19,
Den Haag,Bouw van miniatuurstad,21648,30,19,
Den Haag,Pilotenhelpers onderscheiden,24891,20,19,
Den Haag,Amerikaanse piloot dankt helpers in Den Haag,25390,20,19,
Den Haag,Pierre de Gaulle; burgemeester van Parijs; bezoekt Den Haag,25496,29,19,
Den Haag,Professor Gerbrandy overleden,26735,17,19,
Den Haag,Met vuurwerk over de drempel,27273,30,19,
Den Haag,De terugkeer van de koningin - Den Haag (1945),32534,24,19,
Den Haag,Nationale kampioenschappen kunstrijden op de schaats,49053,22,19,
Den Haag,Tentoonstelling Mauritshuis,50753,16,19,
Den Haag,Kerstboomverbranding,80279,17,19,
Den Haag,Vuilnis van een grote stad,122995,11,19,
Den Haag,Op bezoek bij de openluchtschool,131503,15,19,
Den Haag,Nieuwe bestemming voor mozaïek uit de verwoeste Duinoordkerk,651011,0,19,
Edam,Het zesde eeuwfeest van Edam,2137,24,1,
Amersfoort,Historische kledij,2249,14,4,
Amersfoort,Russische soldaten op Vredehof te Amersfoort begraven,24761,18,4,
Amersfoort,Opening van het Russische erekerkhof,25326,15,4,
Amersfoort,Nu zijn jongeren aan de beurt om veldslagen te beramen,20565,25,4,
Oudewater,700 jarig bestaan,1011,23,1,
